NAME,PLATFORM,YEAR,GENRE,PUBLISHER,GLOBAL_SALES,SALES_TIER
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GBA,2004.0,Action,THQ,0.5,3
F1 2012,X360,2012.0,Racing,Codemasters,0.5,3
NHL 09,X360,2008.0,Sports,Electronic Arts,0.5,3
Sonic Riders,PS2,2006.0,Racing,Sega,0.5,3
Looney Tunes: Back in Action,PS2,2003.0,Platform,Warner Bros. Interactive Entertainment,0.5,3
Wet,X360,,Shooter,Bethesda Softworks,0.5,3
Midnight Magic,2600,1983.0,Action,Atari,0.5,3
Alice: Madness Returns,X360,2011.0,Adventure,Electronic Arts,0.5,3
Pro Evolution Soccer 2012,X360,2011.0,Action,Konami Digital Entertainment,0.5,3
Tiger Woods PGA Tour 07,PS3,2006.0,Sports,Electronic Arts,0.5,3
Midnight Club II,XB,2003.0,Racing,Take-Two Interactive,0.5,3
Atelier Rorona: Alchemist of Arland,PS3,2009.0,Role-Playing,Nippon Ichi Software,0.5,3
Monster Hunter Freedom 2,PS3,2011.0,Role-Playing,Capcom,0.5,3
Dragon Ball Z: Supersonic Warriors 2,DS,2005.0,Fighting,Atari,0.5,3
Avatar: The Last Airbender,GC,2006.0,Adventure,THQ,0.5,3
Blue's Clues: Blue's Big Musical,PS,2001.0,Misc,THQ,0.5,3
The Mummy Returns,PS2,2001.0,Action,Universal Interactive,0.5,3
Hitman: Blood Money,PS2,2006.0,Action,Eidos Interactive,0.5,3
Disney Sing It,PS2,2008.0,Misc,Disney Interactive Studios,0.5,3
Chopper Command,2600,1982.0,Shooter,Activision,0.5,3
Activision Anthology,PS2,2002.0,Misc,Activision,0.5,3
Crash: Mind Over Mutant,PS2,2008.0,Platform,Vivendi Games,0.5,3
WWE 2K16,X360,2015.0,Sports,Take-Two Interactive,0.5,3
LEGO The Hobbit,X360,2014.0,Action,Warner Bros. Interactive Entertainment,0.5,3
Babysitting Mama,Wii,2010.0,Simulation,505 Games,0.5,3
Boogie,Wii,2007.0,Misc,Electronic Arts,0.5,3
Theatrhythm: Final Fantasy,3DS,2012.0,Misc,Square Enix,0.5,3
Bleach: Soul Resurreccion,PS3,2011.0,Fighting,Nippon Ichi Software,0.5,3
Madden NFL 07,Wii,2006.0,Sports,Electronic Arts,0.5,3
Rugrats in Paris: The Movie,N64,2000.0,Action,THQ,0.5,3
Dance Dance Revolution Universe 2,X360,2007.0,Simulation,Konami Digital Entertainment,0.5,3
Star Wars: Jedi Starfighter,PS2,2002.0,Simulation,Activision,0.5,3
Tactics Ogre: The Knight of Lodis,GBA,2001.0,Role-Playing,Nintendo,0.5,3
Fortune Street,Wii,2011.0,Misc,Nintendo,0.5,3
Super Robot Taisen MX,PS2,2004.0,Strategy,Banpresto,0.5,3
Alice in Wonderland,DS,2010.0,Adventure,Disney Interactive Studios,0.5,3
NBA Street Homecourt,X360,2007.0,Sports,Electronic Arts,0.5,3
Spider-Man 2,DS,2004.0,Action,Activision,0.5,3
Bases Loaded '96: Double Header,PS,1995.0,Sports,Jaleco,0.5,3
Dead or Alive Ultimate,XB,2004.0,Fighting,Tecmo Koei,0.5,3
RPG Maker,PS,1997.0,Role-Playing,ASCII Entertainment,0.5,3
FIFA 14,PSV,2013.0,Sports,Electronic Arts,0.5,3
Star Wars: Clone Wars,PS2,2002.0,Shooter,LucasArts,0.5,3
The Saboteur,PS3,2009.0,Action,Electronic Arts,0.5,3
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,PS2,2004.0,Action,THQ,0.5,3
Metal Gear Rising: Revengeance,X360,2013.0,Action,Konami Digital Entertainment,0.5,3
Madden NFL 11,PS2,2010.0,Sports,Electronic Arts,0.5,3
Major League Baseball 2K12,X360,2012.0,Sports,Take-Two Interactive,0.5,3
Alien: Isolation,XOne,2014.0,Shooter,Sega,0.5,3
The Price is Right,DS,2008.0,Misc,Ubisoft,0.5,3
Monster Hunter,PS2,2004.0,Role-Playing,Capcom,0.5,3
Cars 2,X360,2011.0,Racing,Disney Interactive Studios,0.5,3
Dreamworks Madagascar Kartz,Wii,2009.0,Racing,Activision,0.5,3
Tony Hawk's Underground 2,GC,2004.0,Sports,Activision,0.5,3
SplashDown: Rides Gone Wild,PS2,2003.0,Racing,THQ,0.5,3
Super Famista 5,SNES,1996.0,Sports,Namco Bandai Games,0.5,3
Dynasty Warriors: Gundam 2,PS3,2008.0,Action,Namco Bandai Games,0.5,3
Shrek SuperSlam,PS2,2005.0,Action,Activision,0.5,3
Rayman Advance,GBA,2001.0,Platform,Ubisoft,0.5,3
Super Robot Taisen Z,PS2,2008.0,Strategy,Namco Bandai Games,0.5,3
PoPoLoCrois Monogatari,PS,1996.0,Role-Playing,Sony Computer Entertainment,0.5,3
Tomb Raider: Anniversary,PS2,2007.0,Action,Eidos Interactive,0.5,3
Fantastic 4,PS2,2005.0,Action,Activision,0.5,3
Epic Mickey 2: The Power of Two,PS3,2012.0,Action,Disney Interactive Studios,0.5,3
Men in Black II: Alien Escape,PS2,2002.0,Shooter,Infogrames,0.5,3
The Evil Within,X360,2014.0,Action,Bethesda Softworks,0.5,3
RealSports Tennis,2600,1982.0,Sports,Atari,0.5,3
Nicktoons: Attack of the Toybots,PS2,2007.0,Platform,THQ,0.5,3
Raiders of the Lost Ark,2600,1981.0,Action,Atari,0.5,3
Gauntlet,2600,1982.0,Action,Answer Software,0.5,3
Ridge Racer 3D,3DS,2011.0,Racing,Namco Bandai Games,0.5,3
Cars Mater-National Championship,Wii,2007.0,Racing,THQ,0.49,3
Ace Combat: Assault Horizon,X360,2011.0,Action,Namco Bandai Games,0.49,3
Resident Evil: The Mercenaries 3D,3DS,2011.0,Action,Capcom,0.49,3
Super Monkey Ball 3D,3DS,2011.0,Action,Sega,0.49,3
Tony Hawk's Project 8,X360,2006.0,Sports,Activision,0.49,3
Tony Hawk's Underground 2,GBA,2004.0,Sports,Activision,0.49,3
MotorStorm: Apocalypse,PS3,2011.0,Racing,Sony Computer Entertainment,0.49,3
Ice Hockey,2600,1980.0,Sports,Activision,0.49,3
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,2015.0,Action,Square Enix,0.49,3
Lego Batman 3: Beyond Gotham,PSV,2014.0,Action,Warner Bros. Interactive Entertainment,0.49,3
The Matrix: Path of Neo,PS2,2005.0,Action,Atari,0.49,3
Kane & Lynch 2: Dog Days,X360,2010.0,Shooter,Square Enix,0.49,3
Lollipop Chainsaw,X360,2012.0,Action,Warner Bros. Interactive Entertainment,0.49,3
WWE Wrestlemania X8,GC,2002.0,Fighting,THQ,0.49,3
Sonic Lost World,3DS,2013.0,Platform,Sega,0.49,3
Power Rangers: Dino Thunder,GBA,2003.0,Action,THQ,0.49,3
GoldenEye: Rogue Agent,XB,2004.0,Shooter,Electronic Arts,0.49,3
Ultimate I Spy,Wii,2008.0,Adventure,Scholastic Inc.,0.49,3
SpongeBob SquarePants: Creature from the Krusty Krab,DS,2006.0,Platform,THQ,0.49,3
The Sims,GC,2003.0,Simulation,Electronic Arts,0.49,3
Grandia III,PS2,2005.0,Role-Playing,Square Enix,0.49,3
FIFA Soccer 09,DS,2008.0,Sports,Electronic Arts,0.49,3
Mobile Suit Gundam Seed Destiny: Rengou vs. Z.A.F.T. II Plus,PS2,2006.0,Shooter,Namco Bandai Games,0.49,3
Mario & Wario,SNES,1993.0,Puzzle,Nintendo,0.49,3
Scarface: The World is Yours,XB,2006.0,Action,Vivendi Games,0.49,3
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",Wii,2009.0,Shooter,Activision,0.49,3
Pokemon Art Academy,3DS,2014.0,Misc,Nintendo,0.49,3
FIFA Soccer 64,N64,1997.0,Sports,Electronic Arts,0.49,3
Dragon Ball Z: Burst Limit,X360,2008.0,Fighting,Atari,0.49,3
Bakugan Battle Brawlers: Defenders of the Core,DS,2010.0,Action,Activision,0.49,3
Medal of Honor,PC,2010.0,Shooter,Electronic Arts,0.49,3
Doom 3 BFG Edition,X360,2012.0,Shooter,Bethesda Softworks,0.49,3
J-League Pro Soccer Club wo Tsukurou! 2,SAT,1997.0,Sports,Sega,0.49,3
Terraria,PS3,2013.0,Action,505 Games,0.49,3
Backyard Baseball,PS2,2004.0,Sports,Atari,0.49,3
WipEout Pulse,PS2,2009.0,Racing,Sony Computer Entertainment,0.49,3
Barbie Horse Adventures: Wild Horse Rescue,PS2,2003.0,Sports,Universal Interactive,0.49,3
Epic Mickey: Power of Illusion,3DS,2012.0,Action,Disney Interactive Studios,0.49,3
LEGO Marvel Super Heroes,DS,2013.0,Action,Warner Bros. Interactive Entertainment,0.49,3
Taiko no Tatsujin: Appare Sandaime,PS2,2003.0,Misc,Namco Bandai Games,0.49,3
Alone in the Dark,X360,2008.0,Adventure,Atari,0.49,3
One Piece: Grand Battle!,PS,2001.0,Fighting,Atari,0.49,3
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS2,2009.0,Shooter,Activision,0.49,3
Football Manager Handheld 2009,PSP,2008.0,Sports,Sega,0.49,3
Sniper: Art of Victory,PC,2008.0,Shooter,City Interactive,0.49,3
Crazy Taxi,GC,2001.0,Racing,Acclaim Entertainment,0.49,3
Spy Hunter 2,PS2,2003.0,Racing,Midway Games,0.49,3
F1 2014,PS3,2014.0,Racing,Codemasters,0.49,3
Pac-Man World 2,XB,2002.0,Action,Namco Bandai Games,0.49,3
Bass Pro Shops: The Strike,Wii,2009.0,Sports,XS Games,0.49,3
Die Hard Trilogy 2: Viva Las Vegas,PS,1999.0,Action,Fox Interactive,0.49,3
Jake Power: Fireman,DS,2008.0,Adventure,Ubisoft,0.49,3
Asphalt 3D,3DS,2011.0,Racing,Ubisoft,0.49,3
Momotarou Dentetsu X: Kyuushuu-hen mo Arubai,PS2,2001.0,Misc,Hudson Soft,0.49,3
Steel Diver,3DS,2011.0,Action,Nintendo,0.49,3
Tales of Legendia,PS2,2005.0,Role-Playing,Namco Bandai Games,0.49,3
SimCity 2000,SNES,1995.0,Simulation,THQ,0.49,3
Crash of the Titans,DS,2007.0,Action,Vivendi Games,0.49,3
Far Cry 2,PC,2008.0,Action,Ubisoft,0.49,3
Battlefield: Hardline,PS3,2015.0,Shooter,Electronic Arts,0.49,3
Harry Potter and the Order of the Phoenix,Wii,2007.0,Action,Electronic Arts,0.49,3
Rayman Raving Rabbids: TV Party,DS,2008.0,Misc,Ubisoft,0.49,3
F.E.A.R. 2: Project Origin,PS3,2009.0,Shooter,Warner Bros. Interactive Entertainment,0.49,3
Sonic & All-Stars Racing Transformed,PSV,2012.0,Racing,Sega,0.48,3
Scene It? Lights Camera Action,X360,2007.0,Misc,Microsoft Game Studios,0.48,3
Dead Space Extraction,Wii,2009.0,Shooter,Electronic Arts,0.48,3
Scrabble 2007 Edition,DS,2007.0,Puzzle,Ubisoft,0.48,3
Shrek the Third,PS2,2007.0,Action,Activision,0.48,3
Metal Gear Solid HD Edition,PSV,2012.0,Action,Konami Digital Entertainment,0.48,3
Children of Mana,DS,2006.0,Role-Playing,Nintendo,0.48,3
Madagascar: Operation Penguin,GBA,2005.0,Action,Activision,0.48,3
Active Life: Extreme Challenge,Wii,2009.0,Sports,Namco Bandai Games,0.48,3
The Sims 2: Pets,Wii,2007.0,Simulation,Electronic Arts,0.48,3
Mario Golf: World Tour,3DS,2014.0,Sports,Nintendo,0.48,3
Need for Speed: Porsche Unleashed,GBA,2004.0,Racing,Zoo Digital Publishing,0.48,3
Yu-Gi-Oh! Forbidden Memories (JP sales),PS,1999.0,Role-Playing,Konami Digital Entertainment,0.48,3
NFL Street 2,XB,2004.0,Sports,Electronic Arts,0.48,3
Silent Hill: Shattered Memories,Wii,2009.0,Action,Konami Digital Entertainment,0.48,3
Millipede,2600,1983.0,Shooter,Atari,0.48,3
The Legend of the Mystical Ninja,SNES,1991.0,Adventure,Konami Digital Entertainment,0.48,3
You're in the Movies,X360,2008.0,Misc,Microsoft Game Studios,0.48,3
Dark Sector,X360,2008.0,Shooter,D3Publisher,0.48,3
James Bond 007: Blood Stone,X360,2010.0,Shooter,Activision,0.48,3
Jeopardy!,PS2,2003.0,Misc,Atari,0.48,3
Destroy All Humans! 2,PS2,2006.0,Action,THQ,0.48,3
ECW Hardcore Revolution,PS,1999.0,Fighting,Acclaim Entertainment,0.48,3
Pinball Hall of Fame: The Williams Collection,Wii,2008.0,Misc,System 3 Arcade Software,0.48,3
Tiger Woods PGA Tour 07,X360,2006.0,Sports,Electronic Arts,0.48,3
Wu-Tang: Shaolin Style,PS,1998.0,Fighting,Activision,0.48,3
World of Warcraft: Warlords of Draenor,PC,2014.0,Action,Activision Blizzard,0.48,3
Rock Band Unplugged,PSP,2009.0,Misc,MTV Games,0.48,3
OkamiDen,DS,2010.0,Adventure,Capcom,0.48,3
Crash: Mind Over Mutant,X360,2008.0,Platform,Vivendi Games,0.48,3
2010 FIFA World Cup South Africa,PSP,2010.0,Sports,Electronic Arts,0.48,3
Secret Weapons Over Normandy,PS2,2003.0,Simulation,LucasArts,0.48,3
Go Diego Go! Great Dinosaur Rescue,DS,2008.0,Action,Take-Two Interactive,0.48,3
All-Star Baseball 99,N64,1998.0,Sports,Acclaim Entertainment,0.48,3
Harvest Moon 64,N64,1999.0,Simulation,Pack In Soft,0.48,3
NCAA Football 09,PS2,2008.0,Sports,Electronic Arts,0.48,3
Bratz: The Movie,PS2,2007.0,Simulation,THQ,0.48,3
FIFA Soccer 13,WiiU,2012.0,Action,Electronic Arts,0.48,3
Harvest Moon DS (US sales),DS,2005.0,Simulation,Rising Star Games,0.48,3
Vigilante 8: 2nd Offense,PS,1999.0,Racing,Activision,0.48,3
Two Worlds II,PS3,2011.0,Role-Playing,Unknown,0.48,3
Football Manager 2015,PC,2014.0,Simulation,Sega,0.48,3
Theme Park Roller Coaster,PS2,2000.0,Strategy,Electronic Arts,0.48,3
Need for Speed: Hot Pursuit,Wii,2010.0,Racing,Electronic Arts,0.48,3
Skylanders: SuperChargers,WiiU,2015.0,Action,Activision,0.48,3
Viva Pinata: Trouble in Paradise,X360,2008.0,Simulation,Microsoft Game Studios,0.48,3
Nickelodeon Team Umizoomi,DS,2011.0,Action,Take-Two Interactive,0.48,3
FlingSmash,Wii,2010.0,Action,Nintendo,0.48,3
NFL Xtreme 2,PS,1999.0,Sports,989 Studios,0.48,3
Spider-Man 3,Wii,2007.0,Platform,Activision,0.48,3
Midnight Club: Street Racing,GBA,2001.0,Racing,Rebellion,0.48,3
Dynasty Warriors Gundam,PS3,2007.0,Action,Tecmo Koei,0.48,3
Tomb Raider: Underworld,Wii,2008.0,Action,Eidos Interactive,0.48,3
Final Fantasy Crystal Chronicles: Echoes of Time,DS,2009.0,Role-Playing,Square Enix,0.48,3
Fable,X360,2014.0,Role-Playing,Microsoft Game Studios,0.48,3
Tiger Woods PGA Tour 06,XB,2005.0,Sports,Electronic Arts,0.48,3
FIFA World Cup Germany 2006,X360,2006.0,Sports,Electronic Arts,0.48,3
Up,PS2,2009.0,Action,THQ,0.48,3
Grand Prix,2600,1981.0,Racing,Activision,0.48,3
Ford Racing Off Road,Wii,2008.0,Racing,Xplosiv,0.48,3
SimCity Creator,Wii,2008.0,Simulation,Electronic Arts,0.48,3
World of Outlaws: Sprint Cars 2002,PS2,2002.0,Racing,Ignition Entertainment,0.48,3
Cars: Race-O-Rama,DS,2009.0,Racing,THQ,0.48,3
Emergency Heroes,Wii,2008.0,Racing,Ubisoft,0.48,3
Sonic the Hedgehog,PS3,,Platform,N/A,0.48,3
Fantavision,PS2,2000.0,Puzzle,Sony Computer Entertainment,0.47,3
Double Dragon,2600,1989.0,Action,Activision,0.47,3
Alien Trilogy,PS,1996.0,Shooter,Acclaim Entertainment,0.47,3
NBA Live 99,N64,1998.0,Sports,Electronic Arts,0.47,3
Bravely Second: End Layer,3DS,2015.0,Role-Playing,Nintendo,0.47,3
Karate,2600,,Fighting,Ultravision,0.47,3
Dark Sector,PS3,2008.0,Shooter,D3Publisher,0.47,3
Unreal Tournament III,X360,2008.0,Shooter,Midway Games,0.47,3
X-Men: Next Dimension,PS2,2002.0,Fighting,Activision,0.47,3
Street Fighter X Tekken,X360,2012.0,Fighting,Capcom,0.47,3
The Godfather (JP sales),PS2,2006.0,Action,Electronic Arts,0.47,3
MySims Racing,Wii,2009.0,Racing,Electronic Arts,0.47,3
Hamsterz Life,DS,2006.0,Action,Ubisoft,0.47,3
Dragon Age Origins: Awakening,X360,2010.0,Role-Playing,Electronic Arts,0.47,3
Super Puyo Puyo 2,SNES,1995.0,Puzzle,Compile,0.47,3
Gauntlet Legends,PS,2000.0,Action,Midway Games,0.47,3
Castlevania: Dawn of Sorrow,DS,2005.0,Platform,Konami Digital Entertainment,0.47,3
Naruto Shippuden: Ultimate Ninja Storm Revolution,PS3,2014.0,Fighting,Namco Bandai Games,0.47,3
Deadpool,PS3,2013.0,Action,Activision,0.47,3
WipEout,PS,1995.0,Action,Psygnosis,0.47,3
ICO,PS2,2001.0,Action,Sony Computer Entertainment,0.47,3
Silent Hill: Downpour,PS3,2012.0,Action,Konami Digital Entertainment,0.47,3
2014 FIFA World Cup Brazil,X360,2014.0,Sports,Electronic Arts,0.47,3
WWE SmackDown vs. Raw 2011,Wii,2010.0,Fighting,THQ,0.47,3
Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III,Wii,2011.0,Role-Playing,Square Enix,0.47,3
Victorious Boxers: Ippo's Road to Glory,PS2,2000.0,Fighting,Empire Interactive,0.47,3
Petz Sports,Wii,2008.0,Simulation,Ubisoft,0.47,3
Lego Batman 3: Beyond Gotham,WiiU,2014.0,Action,Warner Bros. Interactive Entertainment,0.47,3
Densetsu no Stafi,GBA,2002.0,Platform,Nintendo,0.47,3
Valkyrie Profile 2: Silmeria,PS2,2006.0,Role-Playing,Square Enix,0.47,3
Hot Wheels Velocity X,PS2,2002.0,Racing,THQ,0.47,3
Shadowrun,X360,2007.0,Role-Playing,Microsoft Game Studios,0.47,3
FIFA Soccer 13,PSV,2012.0,Action,Electronic Arts,0.47,3
Virtua Tennis 4: World Tour,PSV,2011.0,Sports,Sega,0.47,3
"Warhammer 40,000: Dawn of War II",PC,2009.0,Strategy,THQ,0.47,3
Crazy Taxi: Fare Wars,PSP,2007.0,Racing,Sega,0.47,3
Clash of Elementalists,DS,2010.0,Action,Level 5,0.47,3
Spider-Man 3,DS,2007.0,Platform,Activision,0.47,3
Disney Infinity 3.0,PS3,2015.0,Action,Disney Interactive Studios,0.47,3
L.A. Rush,PS2,2005.0,Racing,Midway Games,0.47,3
Bomberman Hero,N64,1998.0,Platform,Nintendo,0.47,3
Automobili Lamborghini,N64,1997.0,Racing,Titus,0.47,3
Quest 64,N64,1998.0,Role-Playing,Konami Digital Entertainment,0.47,3
Momotarou Dentetsu V,PS,1999.0,Misc,Hudson Entertainment,0.47,3
Doom 64,N64,1997.0,Shooter,Midway Games,0.47,3
Boom Blox Bash Party,Wii,2009.0,Puzzle,Electronic Arts,0.47,3
The Sims 3: Ambitions,PC,2010.0,Simulation,Electronic Arts,0.47,3
Dead or Alive 4,X360,2005.0,Fighting,Tecmo Koei,0.47,3
Commando,2600,1987.0,Action,Activision,0.47,3
Rise of Nightmares,X360,2011.0,Action,Sega,0.47,3
The Princess and the Frog,Wii,2009.0,Platform,Disney Interactive Studios,0.47,3
NBA Ballers: Phenom,PS2,2006.0,Sports,Midway Games,0.47,3
Need for Speed Carbon,XB,2006.0,Racing,Electronic Arts,0.47,3
Tiger Woods PGA Tour 07,Wii,,Sports,Electronic Arts,0.47,3
NHL 16,XOne,2015.0,Sports,Electronic Arts,0.47,3
FIFA 12,PC,2011.0,Sports,Electronic Arts,0.47,3
MTV Music Generator,PS,1999.0,Misc,Codemasters,0.47,3
Spider-Man: Friend or Foe,DS,2007.0,Action,Activision,0.47,3
Major League Baseball 2K13,X360,2013.0,Sports,Take-Two Interactive,0.47,3
Super Momotarou Dentetsu DX,SNES,1995.0,Misc,Hudson Soft,0.47,3
World Soccer Winning Eleven 8: Liveware Evolution,PS2,2005.0,Sports,Konami Digital Entertainment,0.47,3
The Sims 3: Outdoor Living Stuff,PC,2011.0,Simulation,Electronic Arts,0.47,3
Cars: Race-O-Rama,PS2,2009.0,Racing,THQ,0.47,3
Downhill Domination,PS2,2003.0,Racing,Codemasters,0.47,3
NHL 15,X360,2014.0,Sports,Electronic Arts,0.47,3
Pirates of the Caribbean: Dead Man's Chest,GBA,2006.0,Adventure,Disney Interactive Studios,0.47,3
World Series of Poker,PS2,2005.0,Misc,Activision,0.47,3
Inazuma Eleven Go 2: Chrono Stone,3DS,2012.0,Role-Playing,Level 5,0.47,3
NHL 97,PS,1996.0,Sports,Electronic Arts,0.47,3
We Sing Encore,Wii,2010.0,Misc,Nordic Games,0.47,3
Kong: The 8th Wonder of the World,GBA,2005.0,Action,Ubisoft,0.47,3
MX vs. ATV: Alive,PS3,2011.0,Racing,THQ,0.47,3
Mega Man Star Force 3: Black Ace / Red Joker,DS,2008.0,Action,Capcom,0.47,3
Crayola: Treasure Adventures,DS,2007.0,Puzzle,Ignition Entertainment,0.47,3
Godzilla: Save the Earth,PS2,2004.0,Fighting,Atari,0.47,3
Dance Dance Revolution: Mario Mix,GC,2005.0,Misc,Nintendo,0.47,3
Metal Gear Solid: The Twin Snakes,GC,2004.0,Action,Konami Digital Entertainment,0.47,3
Imagine: Figure Skater (US sales),DS,2007.0,Sports,Ubisoft,0.47,3
Mat Hoffman's Pro BMX 2,PS2,2002.0,Sports,Activision,0.46,3
Metal Gear Solid: The Essential Collection,PS2,2007.0,Adventure,Konami Digital Entertainment,0.46,3
The Legend of Spyro: Dawn of the Dragon,DS,2008.0,Platform,Vivendi Games,0.46,3
Iridion 3D,GBA,2001.0,Shooter,THQ,0.46,3
MX vs. ATV Untamed,PS3,2007.0,Racing,THQ,0.46,3
Classic NES Series: Pac-Man,GBA,2004.0,Puzzle,Nintendo,0.46,3
Destroy All Humans!,XB,2005.0,Shooter,THQ,0.46,3
Dragon Ball Z: Collectible Card Game,GBA,2002.0,Misc,Infogrames,0.46,3
Circus Atari,2600,,Action,Atari,0.46,3
Country Dance 2,Wii,2011.0,Misc,GameMill Entertainment,0.46,3
Razor Freestyle Scooter,PS,1999.0,Sports,Ubisoft,0.46,3
Crash of the Titans,Wii,2007.0,Action,Vivendi Games,0.46,3
F.E.A.R. 3,PS3,2011.0,Shooter,Warner Bros. Interactive Entertainment,0.46,3
Disney's Kim Possible 3: Team Possible,GBA,2005.0,Platform,Disney Interactive Studios,0.46,3
Rygar: The Legendary Adventure,PS2,2002.0,Action,Wanadoo,0.46,3
Syphon Filter: Logan's Shadow,PSP,2007.0,Shooter,Sony Computer Entertainment,0.46,3
Super Batter Up,SNES,1992.0,Sports,Namco Bandai Games,0.46,3
Kessen II,PS2,2001.0,Strategy,THQ,0.46,3
Crayon Shin-Chan: Arashi o Yobu Enji,SNES,1993.0,Platform,Namco Bandai Games,0.46,3
Stuart Little 2,GBA,2002.0,Platform,Activision,0.46,3
Wolfenstein: The New Order,PC,2014.0,Shooter,Bethesda Softworks,0.46,3
"Warhammer 40,000: Space Marine",PS3,2011.0,Shooter,THQ,0.46,3
Tak 2: The Staff of Dreams,GBA,2004.0,Platform,THQ,0.46,3
Art Academy: Lessons for Everyone,3DS,2012.0,Action,Nintendo,0.46,3
Sid Meier's Civilization Revolution,DS,2008.0,Strategy,Take-Two Interactive,0.46,3
ATV Offroad Fury Pro,PSP,2006.0,Racing,Sony Computer Entertainment,0.46,3
Dora The Explorer: Dora Saves the Snow Princess,DS,2008.0,Platform,Take-Two Interactive,0.46,3
SingStar Amped,PS2,2007.0,Misc,Sony Computer Entertainment,0.46,3
Brothers In Arms: Earned in Blood,PS2,2005.0,Shooter,Ubisoft,0.46,3
Walk it Out!,Wii,2010.0,Sports,Konami Digital Entertainment,0.46,3
Transformers: Dark of the Moon - Autobots/Decepticons,DS,2011.0,Action,Activision,0.46,3
Dragon Ball Z: Sagas,PS2,2005.0,Fighting,Atari,0.46,3
Scooby-Doo,GBA,2001.0,Platform,THQ,0.46,3
The Legend of Spyro: Dawn of the Dragon,PS3,2008.0,Platform,Vivendi Games,0.46,3
Hydro Thunder,PS,1999.0,Racing,Midway Games,0.46,3
Brothers In Arms: D-Day,PSP,2006.0,Shooter,Ubisoft,0.46,3
American Girl: Kit Mystery Challenge!,DS,2008.0,Adventure,THQ,0.46,3
Mario & Sonic at the Rio 2016 Olympic Games,3DS,2016.0,Action,Nintendo,0.46,3
NHL FaceOff '97,PS,1996.0,Sports,Sony Computer Entertainment,0.46,3
Deadpool,X360,2013.0,Action,Activision,0.46,3
Brothers In Arms: Road to Hill 30,PS2,2005.0,Shooter,Ubisoft,0.46,3
Virtua Tennis 4,PS3,2011.0,Sports,Sega,0.46,3
EA Sports UFC,XOne,2014.0,Sports,Electronic Arts,0.46,3
Gremlins,2600,1983.0,Action,Atari,0.46,3
The Mark of Kri,PS2,2002.0,Action,Sony Computer Entertainment,0.46,3
Jampack Winter 2003 (RP-M),PS2,2003.0,Misc,Sony Computer Entertainment,0.46,3
Rugrats: Castle Capers,GBA,2001.0,Action,THQ,0.46,3
Crash Nitro Kart,GBA,2003.0,Racing,Vivendi Games,0.46,3
Star Wars The Clone Wars: Republic Heroes,PS3,2009.0,Action,LucasArts,0.46,3
Farming Simulator 2015,PS3,2015.0,Simulation,Koch Media,0.46,3
Bleach: The Blade of Fate,DS,2006.0,Fighting,Sega,0.46,3
Madden NFL 12,Wii,2011.0,Sports,Electronic Arts,0.46,3
LEGO Rock Band,DS,2009.0,Misc,Warner Bros. Interactive Entertainment,0.46,3
Mad Max (2015),XOne,2015.0,Action,Warner Bros. Interactive Entertainment,0.46,3
"Barbie: Jet, Set & Style!",DS,2011.0,Misc,THQ,0.46,3
Jak and Daxter: The Lost Frontier,PS2,2009.0,Platform,Sony Computer Entertainment,0.46,3
Momotarou Dentetsu 11,PS2,2002.0,Misc,Hudson Soft,0.46,3
Command & Conquer: Red Alert 3,X360,2008.0,Strategy,Electronic Arts,0.46,3
Tomb Raider: Legend,PSP,2006.0,Action,Eidos Interactive,0.46,3
Skylanders: SuperChargers,X360,2015.0,Action,Activision,0.46,3
The Golden Compass,X360,2007.0,Action,Sega,0.46,3
Star Wars: Demolition,PS,2000.0,Racing,Activision,0.46,3
Scooby-Doo! and the Spooky Swamp,Wii,2010.0,Action,Warner Bros. Interactive Entertainment,0.46,3
Sword Art Online: Lost Song,PSV,2015.0,Role-Playing,Namco Bandai Games,0.46,3
Bloody Roar II,PS,1999.0,Fighting,Virgin Interactive,0.46,3
Delta Force: Black Hawk Down,PS2,2005.0,Shooter,NovaLogic,0.46,3
Burnout Dominator,PSP,2007.0,Racing,Electronic Arts,0.46,3
NBA Live 07,X360,2006.0,Sports,Electronic Arts,0.46,3
Vin Diesel: Wheelman,X360,2009.0,Racing,Ubisoft,0.46,3
Space Invaders,SNES,1994.0,Shooter,Taito,0.46,3
.hack//Outbreak Part 3,PS2,2002.0,Role-Playing,Atari,0.46,3
Rayman Legends,X360,2013.0,Platform,Ubisoft,0.46,3
Mother 1+2,GBA,2003.0,Role-Playing,Nintendo,0.46,3
Hyperdimension Neptunia,PS3,2010.0,Role-Playing,Tecmo Koei,0.46,3
iCarly,Wii,2009.0,Adventure,Activision,0.46,3
Puzzle & Dragons Z + Super Mario Bros. Edition,3DS,2015.0,Puzzle,Nintendo,0.46,3
Harry Potter and the Deathly Hallows - Part 1,X360,2010.0,Action,Electronic Arts,0.46,3
Top Spin,XB,2003.0,Sports,Microsoft Game Studios,0.46,3
Disney Guilty Party,Wii,2010.0,Misc,Disney Interactive Studios,0.46,3
