NAME,PLATFORM,YEAR,GENRE,PUBLISHER,NA_PERCENT,EU_PERCENT,JP_PERCENT,OTHER_PERCENT
Pro Evolution Soccer 2015,PS3,2014.0,Sports,Konami Digital Entertainment,16.13,37.1,35.48,12.9
Evolve,XOne,2015.0,Shooter,Take-Two Interactive,58.06,32.26,0.0,9.68
Tak 2: The Staff of Dreams,PS2,2004.0,Platform,THQ,48.39,38.71,0.0,12.9
Dead Island: Riptide,PS3,2013.0,Action,Deep Silver,41.94,32.26,11.29,14.52
Warriors Orochi 3,PS3,2011.0,Action,Ubisoft Annecy,0.0,6.45,91.94,1.61
Bolt,DS,2008.0,Adventure,Disney Interactive Studios,56.45,33.87,0.0,9.68
Viewtiful Joe,GC,2003.0,Action,Capcom,61.29,16.13,19.35,3.23
The Urbz: Sims in the City,GBA,2004.0,Simulation,Electronic Arts,59.68,35.48,0.0,4.84
Beetle Adventure Racing!,N64,1999.0,Racing,Electronic Arts,64.52,32.26,0.0,3.23
FIFA Soccer,PSV,2012.0,Sports,Electronic Arts,27.42,54.84,3.23,14.52
Disney's 102 Dalmatians: Puppies to the Rescue,PS,2000.0,Platform,Eidos Interactive,54.84,37.1,0.0,6.45
Wipeout: The Game,DS,2010.0,Misc,Activision,93.55,0.0,0.0,6.45
Strike Force Bowling,PS2,2004.0,Sports,Play It,48.39,38.71,0.0,12.9
SpongeBob's Atlantis SquarePantis,Wii,2007.0,Action,THQ,91.94,1.61,0.0,6.45
Metal Gear Solid V: Ground Zeroes,PS3,2014.0,Action,Konami Digital Entertainment,22.58,22.58,43.55,9.68
Halloween,2600,1982.0,Action,Wizard Video Games,93.55,4.84,0.0,1.61
Dragon Ball Z: Ultimate Tenkaichi,PS3,2011.0,Fighting,Namco Bandai Games,43.55,29.03,14.52,12.9
WWE SmackDown vs. Raw 2010,PSP,2009.0,Fighting,THQ,40.32,37.1,0.0,22.58
Bass Landing,PS,1999.0,Sports,ASCII Entertainment,33.87,22.58,37.1,6.45
XGRA: Extreme G-Racing Association,PS2,2004.0,Racing,Eidos Interactive,48.39,38.71,0.0,12.9
Mario's Picross,GB,1995.0,Puzzle,Nintendo,0.0,0.0,100.0,0.0
Pac-Man Player's Choice Bundle,GC,2003.0,Misc,Namco Bandai Games,77.42,19.35,0.0,3.23
Rocksmith 2014,PS4,2014.0,Misc,Ubisoft,54.84,27.42,0.0,17.74
Fighters MEGAMiX,SAT,1996.0,Fighting,Sega,0.0,0.0,100.0,0.0
Bahamut Lagoon,SNES,1996.0,Role-Playing,SquareSoft,0.0,0.0,100.0,0.0
Wall-E,X360,2008.0,Platform,THQ,46.77,41.94,0.0,11.29
Tomb Raider III: Adventures of Lara Croft,PC,1998.0,Action,Eidos Interactive,95.16,4.84,0.0,0.0
Toshochu: Run for Money,3DS,2012.0,Adventure,Namco Bandai Games,0.0,0.0,100.0,0.0
Dragon Quest Monsters: Joker 2 Professional,DS,2011.0,Role-Playing,Square Enix,0.0,0.0,100.0,0.0
NFL Quarterback Club 99,N64,1998.0,Sports,Acclaim Entertainment,95.16,3.23,0.0,0.0
Super Robot Taisen α Gaiden,PS,2001.0,Strategy,Banpresto,0.0,0.0,93.55,6.45
Formula 1: Championship Edition,PS3,2006.0,Racing,Sony Computer Entertainment,0.0,93.44,6.56,0.0
Muramasa: The Demon Blade,Wii,2009.0,Role-Playing,Rising Star Games,54.1,21.31,18.03,6.56
NBA 2K9,PS3,2008.0,Sports,Take-Two Interactive,91.8,0.0,0.0,8.2
SingStar Singalong With Disney,PS2,2008.0,Misc,Sony Computer Entertainment,0.0,6.56,0.0,93.44
NHL 16,PS4,2015.0,Sports,Electronic Arts,57.38,24.59,0.0,18.03
Plants vs. Zombies: Garden Warfare,PS4,2014.0,Shooter,Electronic Arts,34.43,47.54,1.64,18.03
NFL Fever 2003,XB,2002.0,Sports,Microsoft Game Studios,75.41,21.31,0.0,3.28
Samurai Warriors 2,PS2,2006.0,Action,Tecmo Koei,3.28,3.28,93.44,1.64
Dynasty Warriors 8,PS3,2013.0,Action,Tecmo Koei,19.67,18.03,55.74,8.2
Disney Sing It: Family Hits,Wii,2010.0,Misc,Disney Interactive Studios,63.93,29.51,0.0,8.2
2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,2005.0,Misc,THQ,72.13,26.23,0.0,1.64
Robotech: Battlecry,PS2,2002.0,Shooter,TDK Mediactive,49.18,37.7,0.0,13.11
Dora the Explorer: Super Spies,GBA,2004.0,Platform,Gotham Games,72.13,26.23,0.0,1.64
New Carnival Games,Wii,2010.0,Misc,Take-Two Interactive,57.38,34.43,0.0,8.2
Tony Hawk: RIDE,X360,2009.0,Sports,Activision,75.41,16.39,0.0,8.2
Just Dance 2014,WiiU,2013.0,Misc,Ubisoft,54.1,37.7,0.0,8.2
Cooking Mama 4: Kitchen Magic!,3DS,2011.0,Simulation,505 Games,81.97,11.48,0.0,6.56
Texas Hold 'Em Poker,GBA,2004.0,Misc,Majesco Entertainment,72.13,26.23,0.0,1.64
Time Crisis 3,PS2,2003.0,Shooter,Namco Bandai Games,49.18,37.7,0.0,13.11
Cabela's Monster Buck Hunter,Wii,2010.0,Sports,Activision,95.08,0.0,0.0,4.92
Ganbaru Watashi no Kakei Diary,DS,2007.0,Misc,Nintendo,0.0,0.0,100.0,0.0
pro evolution soccer 2011,X360,2010.0,Sports,Konami Digital Entertainment,14.75,72.13,0.0,11.48
New Play Control! Donkey Kong Jungle Beat,Wii,2008.0,Platform,Nintendo,39.34,27.87,22.95,8.2
Small Soldiers,PS,1998.0,Platform,Electronic Arts,55.74,37.7,0.0,6.56
Yakuza: Dead Souls,PS3,2011.0,Shooter,Sega,14.75,11.48,68.85,4.92
Littlest Pet Shop: Garden,DS,2008.0,Simulation,Electronic Arts,50.82,39.34,0.0,9.84
Half-Life 2,XB,2005.0,Shooter,Electronic Arts,60.66,34.43,0.0,4.92
Duke Nukem: Total Meltdown,PS,1997.0,Shooter,GT Interactive,55.74,37.7,0.0,6.56
Pac-Man Party,Wii,2010.0,Misc,Namco Bandai Games,77.05,14.75,1.64,6.56
Jak and Daxter: The Lost Frontier,PSP,2009.0,Platform,Sony Computer Entertainment,29.51,44.26,0.0,24.59
Major League Baseball 2K8,X360,2008.0,Sports,Bethesda Softworks,91.8,0.0,0.0,8.2
SimCity DS,DS,2007.0,Simulation,Electronic Arts,54.1,4.92,34.43,4.92
Major League Baseball 2K9,X360,2009.0,Sports,Spike,91.8,0.0,0.0,8.2
Petz: Dogz Pack,DS,2008.0,Simulation,Ubisoft,91.8,0.0,0.0,8.2
Split/Second,X360,2010.0,Racing,Disney Interactive Studios,52.46,37.7,0.0,9.84
Final Fantasy IV Advance,GBA,2005.0,Role-Playing,Nintendo,44.26,16.39,36.07,1.64
Madden NFL 2003,GBA,2002.0,Sports,Electronic Arts,72.13,26.23,0.0,1.64
Tomb Raider Chronicles,PS,1999.0,Action,Eidos Interactive,55.74,37.7,0.0,6.56
Harry Potter and the Goblet of Fire,GBA,2005.0,Action,Electronic Arts,72.13,26.23,0.0,1.64
Dragon Ball Z: Buu's Fury,GBA,2004.0,Action,Atari,72.13,26.23,0.0,1.64
Madden NFL 2002,GC,2001.0,Sports,Electronic Arts,77.05,19.67,0.0,3.28
Guitar Hero: Smash Hits,Wii,2009.0,Misc,Activision,54.1,34.43,0.0,9.84
Disney TH!NK Fast: The Ultimate Trivia Showdown,Wii,2008.0,Misc,Disney Interactive Studios,60.66,26.23,1.64,9.84
Spider-Man: Mysterio's Menace,GBA,2001.0,Action,Activision,70.49,26.23,0.0,1.64
Madden NFL 2000,N64,1999.0,Sports,Electronic Arts,95.08,3.28,0.0,0.0
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",X360,2007.0,Action,Activision,83.61,8.2,0.0,8.2
Game & Watch Gallery 4,GBA,2002.0,Misc,Nintendo,70.49,26.23,0.0,1.64
Littlest Pet Shop: Jungle,DS,2008.0,Simulation,Electronic Arts,55.74,32.79,0.0,9.84
Naruto: Ultimate Ninja,PS2,2003.0,Fighting,Atari,81.97,3.28,0.0,13.11
Fighters Uncaged,X360,2010.0,Fighting,Ubisoft,50.82,39.34,0.0,9.84
Call of Juarez: Bound in Blood,X360,2009.0,Shooter,Ubisoft,49.18,39.34,0.0,9.84
New Play Control! Pikmin 2,Wii,2009.0,Strategy,Nintendo,18.33,23.33,55.0,3.33
Tony Hawk's Underground,GBA,2003.0,Sports,Activision,71.67,26.67,0.0,1.67
Hot Shots Golf: World Invitational,PSV,2011.0,Sports,Sony Computer Entertainment,31.67,18.33,41.67,10.0
Monster Trucks,GBA,2004.0,Racing,Majesco Entertainment,71.67,26.67,0.0,1.67
Shadow The Hedgehog,PS2,2005.0,Platform,Sega,83.33,3.33,0.0,13.33
Wave Race: Blue Storm,GC,2001.0,Racing,Nintendo,66.67,16.67,15.0,3.33
Backyard Wrestling: Don't Try This at Home,PS2,2003.0,Fighting,Eidos Interactive,50.0,38.33,0.0,13.33
Fight Night Round 2,XB,2005.0,Fighting,Electronic Arts,70.0,26.67,0.0,3.33
MonHun Nikki: Poka Poka Ailu Mura,PSP,2010.0,Role-Playing,Capcom,0.0,0.0,100.0,0.0
The Golden Compass,DS,2007.0,Action,Sega,46.67,41.67,0.0,10.0
NBA 2K8,PS2,2007.0,Sports,Take-Two Interactive,83.33,3.33,0.0,13.33
Phineas and Ferb: Across the 2nd Dimension,Wii,2011.0,Action,Disney Interactive Studios,60.0,31.67,0.0,8.33
Disney Infinity,WiiU,2013.0,Action,Disney Interactive Studios,55.0,36.67,0.0,8.33
The Golden Compass,Wii,,Action,Sega,43.33,46.67,0.0,11.67
WarioWare D.I.Y.,DS,2009.0,Misc,Nintendo,30.0,31.67,33.33,6.67
Tony Hawk: RIDE,PS3,2009.0,Sports,Activision,63.33,25.0,0.0,13.33
LEGO Jurassic World,3DS,2015.0,Action,Warner Bros. Interactive Entertainment,51.67,36.67,5.0,8.33
Alice: Madness Returns,PS3,2011.0,Adventure,Electronic Arts,36.67,41.67,6.67,15.0
LEGO The Hobbit,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,20.0,61.67,0.0,16.67
Suikoden,PS,1995.0,Role-Playing,Konami Digital Entertainment,35.0,23.33,35.0,6.67
Secret Agent Clank,PS2,2009.0,Platform,Sony Computer Entertainment,21.67,30.0,0.0,48.33
Rayman Arena,PS2,2001.0,Racing,Ubisoft,48.33,38.33,0.0,13.33
Avatar: The Game,PSP,2009.0,Action,Ubisoft,36.67,40.0,0.0,23.33
Jaws Unleashed,PS2,2006.0,Action,THQ,83.33,3.33,0.0,13.33
Puyo Puyo Sun,SAT,1997.0,Puzzle,Compile,0.0,0.0,100.0,0.0
Half-Life,PS2,2001.0,Shooter,Vivendi Games,48.33,38.33,0.0,13.33
Tomb Raider (2013),XOne,2014.0,Action,Square Enix,56.67,35.0,0.0,8.33
Mickey's Speedway USA,N64,2000.0,Racing,Nintendo,61.67,13.33,23.33,1.67
International Superstar Soccer 64,N64,1997.0,Sports,Konami Digital Entertainment,15.0,43.33,38.33,3.33
Skylanders SWAP Force,WiiU,2013.0,Platform,Activision,66.67,25.0,0.0,10.0
NASCAR Heat 2002,PS2,2001.0,Racing,Infogrames,48.33,38.33,0.0,13.33
Disney Sing It! High School Musical 3: Senior Year,Wii,2008.0,Misc,Disney Interactive Studios,53.33,38.33,0.0,6.67
From TV Animation One Piece: Grand Battle 2,PS,2002.0,Fighting,Namco Bandai Games,0.0,0.0,93.33,6.67
BeatMania Append 3rdMix,PS,1998.0,Simulation,Konami Digital Entertainment,0.0,0.0,93.33,6.67
PGR3 - Project Gotham Racing 3,X360,2005.0,Racing,Microsoft Game Studios,81.67,5.0,5.0,8.33
XCOM: Enemy Unknown,PS3,2012.0,Strategy,Take-Two Interactive,40.0,41.67,0.0,18.33
Blur,X360,2010.0,Racing,Activision,41.67,46.67,0.0,10.0
Xena: Warrior Princess,PS,1998.0,Adventure,Electronic Arts,55.0,38.33,0.0,6.67
Scribblenauts: Unlimited,3DS,2012.0,Action,Warner Bros. Interactive Entertainment,91.67,1.67,0.0,6.67
Front Mission,SNES,1995.0,Strategy,SquareSoft,0.0,0.0,100.0,0.0
NHL 11,PS3,2010.0,Sports,Electronic Arts,66.67,21.67,0.0,11.67
Kinect Rush: A Disney Pixar Adventure,X360,2012.0,Adventure,Microsoft Game Studios,63.33,26.67,0.0,8.33
Monopoly,X360,2008.0,Misc,Electronic Arts,56.67,33.33,0.0,10.0
Disney Infinity 2.0: Marvel Super Heroes,PS4,2014.0,Action,Disney Interactive Studios,43.33,40.0,0.0,16.67
Major League Baseball 2K7,PS2,2007.0,Sports,Spike,48.33,38.33,0.0,13.33
Asphalt: Urban GT,DS,2004.0,Racing,Ubisoft,51.67,36.67,0.0,10.0
The Fight: Lights Out,PS3,2010.0,Fighting,Sony Computer Entertainment,48.33,36.67,0.0,15.0
Dai-2-Ji Super Robot Taisen α,PS2,2003.0,Strategy,Banpresto,0.0,0.0,100.0,0.0
Pokemon Trozei!,DS,2005.0,Puzzle,Nintendo,43.33,0.0,51.67,3.33
Dead Space,PC,2008.0,Action,Electronic Arts,0.0,89.83,0.0,10.17
Hot Wheels: Stunt Track Challenge,PS2,2004.0,Racing,THQ,49.15,38.98,0.0,13.56
Rayman Origins,PSV,2012.0,Platform,Ubisoft,22.03,59.32,0.0,18.64
London 2012: The Official Video Game of the Olympic Games,X360,2012.0,Sports,Sega,11.86,77.97,0.0,11.86
Beijing 2008,X360,2008.0,Sports,Sega,25.42,64.41,0.0,11.86
Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e,PS2,2005.0,Strategy,Banpresto,0.0,0.0,100.0,0.0
Jeopardy!,Wii,2010.0,Misc,THQ,94.92,0.0,0.0,5.08
Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,PS,1997.0,Sports,Konami Digital Entertainment,0.0,0.0,94.92,6.78
Assassin's Creed: Brotherhood,PC,2011.0,Action,Ubisoft,25.42,57.63,0.0,16.95
CyberTiger,PS,1998.0,Sports,Electronic Arts,55.93,37.29,0.0,6.78
Jampack Fall 2001,PS,2001.0,Misc,Sony Computer Entertainment,55.93,37.29,0.0,6.78
Medal of Honor: Frontline,GC,2002.0,Shooter,Electronic Arts,77.97,20.34,0.0,3.39
Final Fantasy: The 4 Heroes of Light,DS,2009.0,Role-Playing,Square Enix,38.98,18.64,38.98,5.08
Iron Man,Wii,2008.0,Action,Sega,52.54,37.29,0.0,10.17
Kane & Lynch 2: Dog Days,PS3,2010.0,Shooter,Square Enix,28.81,47.46,8.47,16.95
NFL Blitz 2001,PS,2000.0,Sports,Midway Games,55.93,37.29,0.0,6.78
Total War: Shogun 2,PC,2011.0,Strategy,Sega,32.2,52.54,0.0,15.25
Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PS,1998.0,Sports,Konami Digital Entertainment,0.0,0.0,93.22,6.78
Rock Band 2,PS2,2008.0,Misc,MTV Games,49.15,38.98,0.0,13.56
Yakuza 5,PS3,2012.0,Action,Sega,0.0,0.0,100.0,0.0
LEGO Indiana Jones 2: The Adventure Continues,PSP,2009.0,Action,Activision,35.59,40.68,0.0,23.73
BurgerTime,2600,1981.0,Puzzle,Mattel Interactive,93.22,5.08,0.0,1.69
Naruto: The Broken Bond,X360,2008.0,Action,Ubisoft,40.68,47.46,0.0,11.86
2002 FIFA World Cup,PS2,2002.0,Sports,Electronic Arts,35.59,28.81,27.12,10.17
MVP Baseball 2004,XB,2004.0,Sports,Electronic Arts,74.58,22.03,0.0,3.39
Crash Bandicoot: The Wrath of Cortex,GC,2002.0,Platform,Universal Interactive,77.97,20.34,0.0,3.39
Smurf: Rescue In Gargamel's Castle,2600,1981.0,Action,Coleco,93.22,5.08,0.0,1.69
Spelling Challenges and more!,DS,2007.0,Misc,505 Games,91.53,0.0,0.0,6.78
Go Diego Go! Great Dinosaur Rescue,Wii,2008.0,Action,Take-Two Interactive,89.83,3.39,0.0,6.78
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",Wii,2007.0,Action,Activision,88.14,5.08,0.0,6.78
Extreme-G,N64,1997.0,Racing,Acclaim Entertainment,79.66,18.64,0.0,1.69
Ready 2 Rumble Boxing,N64,1999.0,Sports,Midway Games,79.66,18.64,0.0,1.69
Payday 2,X360,2013.0,Shooter,505 Games,55.93,35.59,0.0,8.47
Dead or Alive Xtreme Beach Volleyball,XB,2003.0,Sports,Microsoft Game Studios,61.02,13.56,23.73,3.39
Tales of Rebirth,PS2,2004.0,Role-Playing,Namco Bandai Games,0.0,0.0,100.0,0.0
SoulCalibur V,X360,2012.0,Fighting,Namco Bandai Games,66.1,23.73,3.39,6.78
NHL 12,PS3,2011.0,Sports,Electronic Arts,61.02,27.12,0.0,11.86
Tales of Zestiria,PS3,2015.0,Role-Playing,Namco Bandai Games,8.47,15.25,71.19,5.08
Silent Hill: Shattered Memories,PS2,2010.0,Action,Konami Digital Entertainment,22.03,37.29,1.69,38.98
Madden NFL 06,X360,,Sports,Electronic Arts,91.53,0.0,1.69,5.08
Skate it,Wii,2008.0,Sports,Electronic Arts,86.44,6.78,0.0,8.47
Game Party in Motion,X360,2010.0,Misc,Warner Bros. Interactive Entertainment,61.02,30.51,0.0,8.47
Barbie: Race & Ride,PS,1999.0,Action,Sony Computer Entertainment,55.93,37.29,0.0,6.78
Lost: Via Domus,X360,2008.0,Action,Ubisoft,30.51,57.63,0.0,11.86
Mega Man Anniversary Collection,PS2,2004.0,Platform,Capcom,49.15,37.29,0.0,13.56
Final Fantasy Anniversary Edition,PSP,2007.0,Role-Playing,Square Enix,66.1,3.39,22.03,6.78
Dark Souls II,PS4,2015.0,Role-Playing,Namco Bandai Games,33.9,37.29,13.56,13.56
Ben 10: Alien Force,PSP,2008.0,Action,Koch Media,59.32,23.73,0.0,16.95
Deus Ex: Human Revolution,PC,2011.0,Shooter,Square Enix,42.37,42.37,0.0,15.25
Zumba Fitness,PS3,2010.0,Sports,505 Games,47.46,35.59,0.0,15.25
Harvest Moon: Friends of Mineral Town,GBA,2003.0,Simulation,Ubisoft,57.63,22.03,18.64,1.69
Backyard NBA Basketball,PS2,2003.0,Sports,Atari,49.15,37.29,0.0,11.86
FIFA Soccer 10,DS,2009.0,Sports,Electronic Arts,23.73,62.71,0.0,11.86
Kirby's Dream Course,SNES,1994.0,Sports,Nintendo,0.0,0.0,100.0,0.0
Doom 3 BFG Edition,PS3,2012.0,Shooter,Bethesda Softworks,44.07,37.29,0.0,16.95
Mega Man X7,PS2,2003.0,Action,Capcom,37.93,29.31,24.14,10.34
Top Spin 3,Wii,2008.0,Action,Take-Two Interactive,25.86,63.79,0.0,12.07
Petz Dogz 2,Wii,2007.0,Simulation,Ubisoft,91.38,1.72,0.0,6.9
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,PS2,2008.0,Action,THQ,50.0,37.93,0.0,12.07
The Conduit,Wii,2009.0,Shooter,Sega,50.0,39.66,0.0,10.34
Just Dance 2016,WiiU,2015.0,Misc,Ubisoft,48.28,43.1,0.0,8.62
Tokimeki Memorial: Forever with You,PS,1995.0,Simulation,Konami Digital Entertainment,0.0,0.0,94.83,6.9
Diablo,PS,1997.0,Role-Playing,Electronic Arts,50.0,32.76,12.07,6.9
Cabela's Dangerous Hunts 2011,Wii,2010.0,Sports,Activision,91.38,3.45,0.0,6.9
NHL 15,PS4,2014.0,Sports,Electronic Arts,51.72,31.03,0.0,17.24
Q*bert,2600,1982.0,Puzzle,Parker Bros.,94.83,5.17,0.0,1.72
Romancing SaGa,PS2,2005.0,Role-Playing,Square Enix,10.34,6.9,81.03,1.72
The Lord of the Rings: The Third Age,PS2,2004.0,Role-Playing,Electronic Arts,84.48,3.45,0.0,13.79
Harvest Moon: Sunshine Islands,DS,2008.0,Simulation,Rising Star Games,60.34,5.17,29.31,5.17
Trivial Pursuit,Wii,2009.0,Misc,Electronic Arts,36.21,53.45,0.0,12.07
The Legend of Spyro: Dawn of the Dragon,Wii,2008.0,Platform,Vivendi Games,60.34,31.03,0.0,8.62
The Sims 3: World Adventures,PC,2009.0,Simulation,Electronic Arts,3.45,31.03,0.0,67.24
Kinect Sports Rivals,XOne,2014.0,Sports,Microsoft Game Studios,51.72,37.93,3.45,6.9
Rayman Origins,Wii,2011.0,Platform,Ubisoft,39.66,50.0,0.0,12.07
WWE 2K16,XOne,2015.0,Sports,Take-Two Interactive,53.45,37.93,0.0,8.62
Titanfall,PC,2014.0,Shooter,Electronic Arts,36.21,51.72,0.0,12.07
NCAA Football 09,PS3,2008.0,Sports,Electronic Arts,93.1,0.0,0.0,6.9
Tom Clancy's HAWX,X360,2009.0,Action,Ubisoft,53.45,32.76,3.45,10.34
Sammy Sosa High Heat Baseball 2001,PS,2000.0,Sports,3DO,55.17,37.93,0.0,6.9
Frozen: Olaf's Quest,3DS,2013.0,Platform,Disney Interactive Studios,46.55,44.83,0.0,8.62
Terminator 3: Rise of the Machines,PS2,2003.0,Action,Atari,48.28,37.93,0.0,12.07
"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",X360,2010.0,Shooter,Activision,63.79,25.86,0.0,8.62
Harvest Moon: The Tale of Two Towns,DS,2010.0,Simulation,Natsume,46.55,10.34,37.93,5.17
FIFA: Road to  World Cup 98,N64,1997.0,Sports,Electronic Arts,25.86,67.24,0.0,5.17
World Cup 98,N64,1998.0,Sports,Electronic Arts,24.14,68.97,0.0,6.9
International Superstar Soccer '98,N64,1998.0,Sports,Konami Digital Entertainment,10.34,51.72,32.76,5.17
NASCAR: Dirt to Daytona,PS2,,Racing,Unknown,48.28,37.93,0.0,12.07
Unreal Tournament,PS2,2000.0,Shooter,Infogrames,48.28,37.93,0.0,12.07
Digimon World 2,PS,2000.0,Role-Playing,Namco Bandai Games,39.66,27.59,27.59,6.9
Tales of Phantasia,PS,1998.0,Role-Playing,Namco Bandai Games,0.0,0.0,93.1,6.9
Prince of Persia: The Two Thrones,XB,2005.0,Action,Ubisoft,56.9,37.93,0.0,5.17
Xenosaga Episode II: Jenseits von Gut und Böse,PS2,2004.0,Role-Playing,Sony Computer Entertainment,48.28,37.93,0.0,12.07
Gex: Enter the Gecko,PS,1998.0,Platform,BMG Interactive Entertainment,55.17,37.93,0.0,6.9
Shrek 2: Beg for Mercy,GBA,2004.0,Adventure,Activision,72.41,25.86,0.0,1.72
Mega Man Star Force 2: Zerker x Ninja / Saurian,DS,2007.0,Action,Capcom,43.1,0.0,53.45,3.45
JoJo's Bizarre Adventure: All Star Battle,PS3,2013.0,Fighting,Namco Bandai Games,8.62,3.45,86.21,1.72
Petz Nursery,DS,2009.0,Simulation,Ubisoft,91.38,0.0,0.0,6.9
Contra: Shattered Soldier,PS2,2002.0,Shooter,Konami Digital Entertainment,48.28,37.93,0.0,12.07
Championship Motocross featuring Ricky Carmichael,PS,1998.0,Racing,THQ,55.17,37.93,0.0,6.9
Dragon Ball Z: Chou Saiya Densetsu,SNES,1992.0,Role-Playing,Namco Bandai Games,0.0,0.0,100.0,0.0
NBA 2K7,X360,2006.0,Sports,Take-Two Interactive,91.38,0.0,0.0,6.9
WWE 2K16,PS3,2015.0,Sports,Take-Two Interactive,36.21,46.55,0.0,15.52
Phoenix Wright: Ace Attorney - Justice for All,DS,2006.0,Adventure,Capcom,41.38,8.62,44.83,5.17
Fire Emblem: Seisen no Keifu,SNES,1996.0,Strategy,Nintendo,0.0,0.0,100.0,0.0
Rock Band 3,PS3,2010.0,Misc,MTV Games,74.14,15.52,0.0,10.34
Disgaea 4: A Promise Unforgotten,PS3,2011.0,Role-Playing,Nippon Ichi Software,46.55,18.97,24.14,10.34
BlazBlue: Calamity Trigger,PS3,2009.0,Fighting,PQube,62.07,17.24,10.34,10.34
Tenchu 2: Birth of the Stealth Assassins,PS,2000.0,Action,Activision,55.17,37.93,0.0,6.9
Tony Hawk's Pro Skater 4,GC,2002.0,Sports,Activision,77.59,20.69,0.0,3.45
MLB 11: The Show,PS3,2011.0,Sports,Sony Computer Entertainment,93.1,0.0,0.0,6.9
Naruto: Uzumaki Chronicles 2,PS2,2006.0,Action,Namco Bandai Games,48.28,37.93,0.0,12.07
NHL 06,PS2,2005.0,Sports,Electronic Arts,82.76,3.45,0.0,13.79
NHL 10,PS3,2009.0,Sports,Electronic Arts,65.52,20.69,0.0,12.07
Rooms: The Main Building,DS,2010.0,Adventure,Nintendo,17.24,70.69,1.72,10.34
Rapala: We Fish,Wii,2009.0,Sports,Activision,89.66,3.45,0.0,6.9
Parasite Eve II,PS,1999.0,Role-Playing,SquareSoft,55.17,37.93,0.0,6.9
Tetris Party Deluxe,Wii,2010.0,Puzzle,Nintendo,58.62,29.31,3.45,8.62
NFL Blitz 2000,N64,1999.0,Sports,Midway Games,94.83,3.45,0.0,0.0
Ratchet & Clank: Quest for Booty,PS3,2008.0,Platform,Sony Computer Entertainment,0.0,91.38,0.0,6.9
Madden NFL 2002,XB,,Sports,Unknown,91.38,3.45,0.0,5.17
NCAA Football 10,PS2,2009.0,Sports,Electronic Arts,48.28,37.93,0.0,12.07
Top Spin 3,PS3,2008.0,Action,Take-Two Interactive,14.04,64.91,0.0,21.05
Shin Megami Tensei IV,3DS,2013.0,Role-Playing,Atlus,49.12,0.0,47.37,3.51
Theme Park,PS,1994.0,Simulation,Electronic Arts,42.11,28.07,22.81,7.02
Blacksite: Area 51,X360,2007.0,Shooter,Midway Games,50.88,40.35,0.0,10.53
Spider-Man 3,X360,2007.0,Platform,Activision,85.96,7.02,0.0,7.02
ATV Offroad Fury: Blazin' Trails,PSP,2005.0,Racing,SouthPeak Games,92.98,0.0,0.0,7.02
Far Cry Instincts,XB,2005.0,Shooter,Ubisoft,56.14,42.11,0.0,3.51
Hasbro Family Game Night,PS2,2008.0,Puzzle,Electronic Arts,49.12,38.6,0.0,12.28
Tony Hawk's Pro Skater 4,GBA,2002.0,Sports,Activision,71.93,26.32,0.0,1.75
Up,Wii,2009.0,Action,THQ,40.35,49.12,0.0,10.53
Tales of the Abyss,PS2,2005.0,Role-Playing,Namco Bandai Games,0.0,0.0,100.0,0.0
Disney Universe,X360,2011.0,Action,Disney Interactive Studios,64.91,26.32,0.0,8.77
Iron Man,X360,2008.0,Action,Sega,47.37,42.11,0.0,10.53
Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,PS,2000.0,Strategy,Namco Bandai Games,0.0,0.0,94.74,7.02
Spyro Orange: The Cortex Conspiracy,GBA,2004.0,Action,Vivendi Games,71.93,26.32,0.0,1.75
Enslaved: Odyssey to the West,PS3,2010.0,Action,Namco Bandai Games,42.11,42.11,1.75,15.79
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,DS,2008.0,Action,THQ,92.98,0.0,0.0,7.02
Beyond The Beyond,PS,1995.0,Role-Playing,Sony Computer Entertainment,19.3,14.04,61.4,7.02
Ben 10: Alien Force,PS2,2008.0,Action,Koch Media,38.6,3.51,0.0,57.89
Tomb Raider: Anniversary,PSP,2007.0,Action,Eidos Interactive,36.84,40.35,0.0,22.81
"Warhammer 40,000: Space Marine",X360,2011.0,Shooter,THQ,43.86,47.37,0.0,10.53
Madden NFL 06,GC,2005.0,Sports,Electronic Arts,77.19,19.3,0.0,3.51
No More Heroes,Wii,2007.0,Action,Rising Star Games,52.63,29.82,7.02,8.77
Assassin's Creed II,PC,2010.0,Action,Ubisoft,1.75,78.95,0.0,19.3
Petz Wild Animals: Tigerz,DS,2008.0,Simulation,Ubisoft,91.23,1.75,0.0,7.02
Naruto: Ultimate Ninja 2,PS2,2004.0,Fighting,Namco Bandai Games,82.46,3.51,0.0,14.04
Defiance,X360,2013.0,Shooter,Trion Worlds,66.67,26.32,0.0,7.02
